Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
  1,   1,       1250.0,       75.0,    5,     3,   61.0,               0.03005,    2.223699999999995,              37.5625,  -25.661199999999994
  1,   2,       1250.0,       75.0,    5,     3,   21.0,                0.0353,    2.612200000000009,               44.125,    20.51279999999999
  1,   3,       1250.0,       75.0,    5,     3,   10.0,  0.028499999999999998,    2.109000000000005,               35.625,   23.515999999999995
  1,   4,       1250.0,       75.0,    5,     3,   10.0,  0.030699999999999998,    2.271799999999999,               38.375,              26.1032
  1,   5,       1250.0,       75.0,    5,     3,    7.0,  0.037500000000000006,    2.774999999999998,    46.87500000000001,    37.10000000000001
  1,   6,       1250.0,       75.0,    5,     3,    8.0,  0.013850000000000001,   1.0248999999999977,              17.3125,    8.287600000000003
  1,   7,       1250.0,       75.0,    5,     3,    7.0,                0.0381,    2.819400000000001,               47.625,              37.8056
  1,   8,       1250.0,       75.0,    5,     3,    5.0,               0.05105,   3.7777000000000025,              63.8125,              55.0348
  1,   9,       1250.0,       75.0,    5,     3,    6.0,                0.0245,   1.8130000000000006,               30.625,   22.811999999999998
  1,  10,       1250.0,       75.0,    5,     3,    4.0,               0.03485,   2.5789000000000013,              43.5625,   36.983599999999996
  1,  11,       1250.0,       75.0,    5,     3,    6.0,                 0.033,   2.4419999999999984,                41.25,               32.808
  1,  12,       1250.0,       75.0,    5,     3,    3.0,  0.060050000000000006,    4.443700000000008,    75.06250000000001,    67.61880000000001
  1,  13,       1250.0,       75.0,    5,     3,    6.0,                0.0407,   3.0118000000000085,               50.875,    41.86319999999999
  1,  14,       1250.0,       75.0,    5,     3,    5.0,               0.06185,    4.576900000000002,              77.3125,              67.7356
  1,  15,       1250.0,       75.0,    5,     3,    7.0,  0.055900000000000005,    4.136600000000009,               69.875,    58.73839999999999
  1,  16,       1250.0,       75.0,    5,     3,   12.0,               0.03185,    2.356900000000003,    39.81250000000001,   25.455600000000004
  1,  17,       1250.0,       75.0,    5,     3,    3.0,  0.039749999999999994,   2.9415000000000022,    49.68749999999999,    43.74599999999999
  1,  18,       1250.0,       75.0,    5,     3,    4.0,                0.0449,   3.3226000000000075,               56.125,    48.80239999999999
  1,  19,       1250.0,       75.0,    5,     3,    7.0,               0.04195,   3.1042999999999963,              52.4375,   42.333200000000005
  1,  20,       1250.0,       75.0,    5,     3,    4.0,                0.0279,    2.064600000000001,               34.875,              28.8104
  1,  21,       1250.0,       75.0,    5,     3,    5.0,               0.04485,   3.3189000000000037,              56.0625,              47.7436
  1,  22,       1250.0,       75.0,    5,     3,    3.0,                0.0539,    3.988599999999999,               67.375,              60.3864
  1,  23,       1250.0,       75.0,    5,     3,    5.0,               0.03075,   2.2755000000000014,              38.4375,               31.162
  1,  24,       1250.0,       75.0,    5,     3,    5.0,               0.05135,   3.7998999999999925,              64.1875,   55.387600000000006
  1,  25,       1250.0,       75.0,    5,     3,    4.0,  0.039999999999999994,   2.9599999999999955,    49.99999999999999,                43.04
  1,  26,       1250.0,       75.0,    5,     3,    4.0,                0.0308,   2.2791999999999963,                 38.5,   32.220800000000004
  1,  27,       1250.0,       75.0,    5,     3,    5.0,  0.020749999999999998,   1.5355000000000028,   25.937499999999996,   19.401999999999994
  1,  28,       1250.0,       75.0,    5,     3,    6.0,               0.03705,    2.741700000000006,              46.3125,    37.57079999999999
  1,  29,       1250.0,       75.0,    5,     3,    8.0,  0.048850000000000005,   3.6149000000000107,    61.06250000000001,   49.447599999999994
  1,  30,       1250.0,       75.0,    5,     3,    8.0,                0.0375,   2.7750000000000035,               46.875,   36.099999999999994
