Exp, Rnd, InitialSteps, FinalSteps, nbrV, nbrAg, T (ms), Total ag Utility Time, Util consumed T (ms), Time exhaustif search, difference in time 
  3,   1,        320.0,       21.0,    7,     3,    0.0,                0.0352,   0.7039999999999996,   11.264000000000001,   10.560000000000002
  3,   2,        320.0,       21.0,    7,     3,    2.0,  0.052199999999999996,   1.0439999999999994,               16.704,                13.66
  3,   3,        320.0,       21.0,    7,     3,    2.0,   0.03924999999999999,   0.7849999999999998,   12.559999999999999,    9.774999999999999
  3,   4,        320.0,       21.0,    7,     3,    3.0,  0.014400000000000001,                0.288,   4.6080000000000005,   1.3200000000000007
  3,   5,        320.0,       21.0,    7,     3,    3.0,                0.0265,   0.5300000000000002,                 8.48,                 4.95
  3,   6,        320.0,       21.0,    7,     3,    2.0,                0.0308,   0.6160000000000001,                9.856,                 7.24
  3,   7,        320.0,       21.0,    7,     3,    2.0,                0.0513,                1.026,               16.416,                13.39
  3,   8,        320.0,       21.0,    7,     3,    1.0,                0.0369,   0.7379999999999995,               11.808,                10.07
  3,   9,        320.0,       21.0,    7,     3,    6.0,  0.030449999999999998,                0.609,                9.744,                3.135
  3,  10,        320.0,       21.0,    7,     3,    2.0,                0.0503,   1.0059999999999991,               16.096,                13.09
  3,  11,        320.0,       21.0,    7,     3,    2.0,  0.042899999999999994,   0.8580000000000007,   13.727999999999998,   10.869999999999997
  3,  12,        320.0,       21.0,    7,     3,    5.0,  0.053250000000000006,   1.0650000000000002,   17.040000000000003,   10.975000000000001
  3,  13,        320.0,       21.0,    7,     3,    6.0,                0.0543,   1.0859999999999996,               17.376,   10.290000000000003
  3,  14,        320.0,       21.0,    7,     3,    0.0,                 0.049,   0.9800000000000006,                15.68,                 14.7
  3,  15,        320.0,       21.0,    7,     3,    3.0,               0.03555,   0.7109999999999996,               11.376,                7.665
  3,  16,        320.0,       21.0,    7,     3,    0.0,                0.0626,   1.2519999999999998,               20.032,                18.78
  3,  17,        320.0,       21.0,    7,     3,    1.0,                0.0348,   0.6959999999999996,               11.136,                 9.44
  3,  18,        320.0,       21.0,    7,     3,    1.0,               0.04715,   0.9430000000000001,               15.088,               13.145
  3,  19,        320.0,       21.0,    7,     3,    0.0,               0.02965,                0.593,                9.488,                8.895
  3,  20,        320.0,       21.0,    7,     3,    1.0,                0.0465,   0.9299999999999998,   14.879999999999999,                12.95
  3,  21,        320.0,       21.0,    7,     3,    1.0,               0.03615,   0.7229999999999999,   11.568000000000001,    9.845000000000002
  3,  22,        320.0,       21.0,    7,     3,    2.0,                0.0432,                0.864,   13.824000000000002,                10.96
  3,  23,        320.0,       21.0,    7,     3,    1.0,   0.03749999999999999,   0.7499999999999997,   11.999999999999996,   10.249999999999996
